# Argument List:
# Name = D4cF_Cdx2_O_k27ac_BMinus_30kb
# peak file = D4cf_Cdx2_O_k27ac.bed
# distance = 30000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr17	46048321	46059152	NM_001278216	0.023	+	CDK5RAP3
chr19	39292310	39303740	NM_006149	0.023	-	LGALS4
chr1	149553002	149553787	NM_001135789	0.022	+	PPIAL4C
chr1	149553002	149553787	NM_001143883	0.022	+	PPIAL4B
chr1	228645064	228645560	NM_033445	0.022	-	HIST3H2A
chr1	32372021	32385259	NM_001195100	0.022	-	PTP4A2
chr1	32372021	32385259	NM_001195101	0.022	-	PTP4A2
chr3	32859509	32933771	NM_001039111	0.022	+	TRIM71
chr10	75910942	76469061	NM_001202450	0.022	+	ADK
chr10	75910942	76469061	NM_006721	0.022	+	ADK
chr2	220114432	220118668	NM_006000	0.022	-	TUBA4A
chr17	46047893	46059152	NM_001278197	0.022	+	CDK5RAP3
chr10	75880014	75910826	NM_012095	0.022	-	AP3M1
chr10	75880014	75910826	NM_207012	0.022	-	AP3M1
chr1	228645807	228646259	NM_175055	0.022	+	HIST3H2BB
chr8	86775049	86776128	NR_003594	0.021	-	REXO1L2P
chr1	160287054	160288260	NR_002190	0.021	+	SUMO1P3
chr11	57529233	57586652	NM_001085458	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206889	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206883	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085463	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206887	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085460	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085459	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206885	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085467	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085466	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206886	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206890	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206891	0.020	+	CTNND1
chr11	57529233	57586652	NM_001331	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206884	0.020	+	CTNND1
chr11	57529233	57586652	NM_001206888	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085461	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085462	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085469	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085465	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085464	0.020	+	CTNND1
chr11	57529233	57586652	NM_001085468	0.020	+	CTNND1
chr3	55499742	55521670	NM_003392	0.020	-	WNT5A
chr2	220117964	220136910	NR_003063	0.020	+	TUBA4B
chr20	18004795	18039832	NM_001303461	0.019	-	OVOL2
chr20	18004795	18039832	NM_001303462	0.019	-	OVOL2
chr6	11200605	11232915	NM_182966	0.019	-	NEDD9
chr6	11183530	11232915	NM_001271033	0.019	-	NEDD9
chr6	11183530	11232915	NM_006403	0.019	-	NEDD9
chr4	100432160	100463460	NM_032149	0.019	+	C4orf17
chr7	156433440	156469820	NM_001184996	0.019	+	RNF32
chr7	156433352	156469820	NM_030936	0.018	+	RNF32
chr7	156431059	156433348	NR_026865	0.018	-	C7orf13
chr1	228581376	228594517	NM_145214	0.018	-	TRIM11
chr13	28519342	28519710	NR_002162	0.018	+	ATP5EP2
chr12	127354039	127359236	NR_033970	0.018	-	LOC440117
chr9	114393631	114432526	NM_004125	0.018	+	DNAJC25-GNG10
chr9	114393631	114416631	NR_037148	0.018	+	DNAJC25
chr9	114393631	114416631	NM_001015882	0.018	+	DNAJC25
chr1	27153200	27182211	NM_032283	0.018	+	ZDHHC18
chr19	47634114	47713893	NR_027280	0.018	+	SAE1
chr19	47634079	47713893	NM_005500	0.017	+	SAE1
chr19	47634079	47713893	NM_001145713	0.017	+	SAE1
chr19	47634079	47713893	NM_001145714	0.017	+	SAE1
chr18	67671042	67872962	NM_173630	0.017	-	RTTN
chr6	32546546	32557613	NM_002124	0.017	-	HLA-DRB1
chr6	32546546	32557613	NM_001243965	0.017	-	HLA-DRB1
chr9	93063177	93195771	NR_109795	0.017	-	LINC01508
chr2	108994420	109004270	NM_006588	0.017	+	SULT1C4
chr8	94929278	94938296	NM_001161781	0.016	+	PDP1
chr6	70576447	70922157	NM_001858	0.016	+	COL19A1
chr8	94929174	94938296	NM_001161779	0.016	+	PDP1
chr8	94929161	94938296	NM_001161780	0.016	+	PDP1
chr8	94929082	94938296	NM_018444	0.016	+	PDP1
chr5	68513572	68525985	NM_033281	0.016	+	MRPS36
chr3	37027356	37034795	NM_014805	0.016	-	EPM2AIP1
chr3	37034840	37092337	NM_000249	0.016	+	MLH1
chr3	37034840	37092337	NM_001258273	0.016	+	MLH1
chr3	37034840	37092337	NM_001258271	0.016	+	MLH1
chr5	42548144	42721980	NM_001242402	0.015	+	GHR
chr14	101280827	101280911	NR_039729	0.015	+	MIR2392
chr5	42548314	42721980	NM_001242403	0.015	+	GHR
chr3	37035267	37092337	NM_001167617	0.015	+	MLH1
chr3	37035267	37092337	NM_001258274	0.015	+	MLH1
chr3	37035267	37092337	NM_001167619	0.015	+	MLH1
chr3	37035267	37092337	NM_001167618	0.015	+	MLH1
chr8	94928249	94928347	NR_039602	0.014	-	MIR378D2
chr9	84304627	84391814	NR_109772	0.014	+	LOC101927502
chr4	71457974	71473004	NM_016519	0.014	+	AMBN
chr16	51796429	51806557	NR_110916	0.014	+	LINC01571
chr1	149605916	149606079	NR_125392	0.014	+	RNVU1-20
chr9	84198597	84304450	NM_001303103	0.014	-	TLE1
chr9	84198597	84304450	NM_005077	0.014	-	TLE1
chr9	84198597	84304450	NM_001303104	0.014	-	TLE1
chr9	19230762	19374266	NM_017925	0.014	+	DENND4C
chr9	19230762	19374266	NR_073201	0.014	+	DENND4C
chr17	56414562	56431088	NR_038418	0.014	+	BZRAP1-AS1
chr17	56414562	56431088	NR_038416	0.014	+	BZRAP1-AS1
chr17	56414562	56431088	NR_038415	0.014	+	BZRAP1-AS1
chr17	56414562	56431088	NR_038414	0.014	+	BZRAP1-AS1
chr17	56414562	56431088	NR_038417	0.014	+	BZRAP1-AS1
chr1	156182778	156213123	NM_001199664	0.013	+	PMF1-BGLAP
chr1	156182778	156213123	NM_001199661	0.013	+	PMF1-BGLAP
chr1	156182778	156213123	NM_001199662	0.013	+	PMF1-BGLAP
chr1	156182778	156209868	NM_001199653	0.013	+	PMF1
chr1	156182778	156209868	NM_001199654	0.013	+	PMF1
chr1	156182778	156213123	NM_001199663	0.013	+	PMF1-BGLAP
chr1	156182778	156209868	NM_007221	0.013	+	PMF1
chr1	228649774	228649853	NR_039812	0.013	+	MIR4666A
chr11	26580578	26593815	NM_001135092	0.013	-	MUC15
chr11	26580578	26593815	NM_001135091	0.013	-	MUC15
chr11	26580578	26593815	NM_145650	0.013	-	MUC15
chr5	42549657	42721980	NM_001242404	0.012	+	GHR
chr1	110950430	110958896	NR_102697	0.012	+	LAMTOR5-AS1
chr17	56413336	56413383	NR_039889	0.012	-	MIR4736
chr15	73976621	74006859	NM_025240	0.012	+	CD276
chr15	73976621	74006859	NM_001024736	0.012	+	CD276
chr5	42550181	42721980	NM_001242405	0.012	+	GHR
chr1	167144598	167165042	NR_110811	0.012	-	LINC01363
